nasdaq_nordic_large.csv:Cargotec Oyj;CGCBV;EUR;FI0009013429;CGCBV.HE;Industrials;5020;
nasdaq_nordic_large.csv:Citycon Oyj;CTY1S;EUR;FI4000369947;CTY1S.HE;Real Estate;3510;
nasdaq_nordic_large.csv:Elisa Oyj;ELISA;EUR;FI0009007884;ELISA.HE;Telecommunications;1510;
nasdaq_nordic_large.csv:Fortum Oyj;FORTUM;EUR;FI0009007132;FORTUM.HE;Utilities;6510;
nasdaq_nordic_large.csv:Fiskars Oyj Abp;FSKRS;EUR;FI0009000400;FSKRS.HE;Consumer Services;4020;
nasdaq_nordic_large.csv:Huhtamäki Oyj;HUH1V;EUR;FI0009000459;HUH1V.HE;Industrials;5020;
nasdaq_nordic_large.csv:Konecranes Oyj;KCR;EUR;FI0009005870;KCR.HE;Industrials;5020;
nasdaq_nordic_large.csv:Kemira Oyj;KEMIRA;EUR;FI0009004824;KEMIRA.HE;Basic Materials;5520;
nasdaq_nordic_large.csv:Kesko Oyj A;KESKOA;EUR;FI0009007900;KESKOA.HE;Consumer Goods;4520;
nasdaq_nordic_large.csv:Kesko Oyj B;KESKOB;EUR;FI0009000202;KESKOB.HE;Consumer Goods;4520;
nasdaq_nordic_large.csv:KONE Oyj;KNEBV;EUR;FI0009013403;KNEBV.HE;Industrials;5020;
nasdaq_nordic_large.csv:Kojamo Oyj;KOJAMO;EUR;FI4000312251;KOJAMO.HE;Real Estate;3510;
nasdaq_nordic_large.csv:Metsä Board Oyj A;METSA;EUR;FI0009000640;METSA.HE;Basic Materials;5510;
nasdaq_nordic_large.csv:Metsä Board Oyj B;METSB;EUR;FI0009000665;METSB.HE;Basic Materials;5510;
nasdaq_nordic_large.csv:Metso Outotec Oyj;MOCORP;EUR;FI0009014575;MOCORP.HE;Industrials;5020;
nasdaq_nordic_large.csv:Nordea Bank Abp;NDA FI;EUR;FI4000297767;NDA-SE.ST;Financials;3010;
nasdaq_nordic_large.csv:Neste Oyj;NESTE;EUR;FI0009013296;NESTE.HE;Energy;6010;
nasdaq_nordic_large.csv:Nokia Oyj;NOKIA;EUR;FI0009000681;NOKIA.HE;Telecommunications;1510;
nasdaq_nordic_large.csv:Orion Oyj A;ORNAV;EUR;FI0009014369;ORNAV.HE;Health Care;2010;
nasdaq_nordic_large.csv:Orion Oyj B;ORNBV;EUR;FI0009014377;ORNBV.HE;Health Care;2010;
nasdaq_nordic_large.csv:Outokumpu Oyj;OUT1V;EUR;FI0009002422;OUT1V.HE;Basic Materials;5510;
nasdaq_nordic_large.csv:Qt Group Oyj;QTCOM;EUR;FI4000198031;QTCOM.HE;Technology;1010;
nasdaq_nordic_large.csv:Revenio Group Oyj;REG1V;EUR;FI0009010912;REG1V.HE;Health Care;2010;
nasdaq_nordic_large.csv:Sampo Oyj A;SAMPO;EUR;FI0009003305;SAMPO.HE;Financials;3030;
nasdaq_nordic_large.csv:Sanoma Oyj;SANOMA;EUR;FI0009007694;SANOMA.HE;Consumer Services;4030;
nasdaq_nordic_large.csv:SSAB A;SSABAH;EUR;SE0000171100;SSAB-A.ST;Basic Materials;5510;
nasdaq_nordic_large.csv:SSAB B;SSABBH;EUR;SE0000120669;SSAB-B.ST;Basic Materials;5510;
nasdaq_nordic_large.csv:Stora Enso Oyj A;STEAV;EUR;FI0009005953;ENUA.F;Basic Materials;5510;
nasdaq_nordic_large.csv:Stora Enso Oyj R;STERV;EUR;FI0009005961;STERV.HE;Basic Materials;5510;
nasdaq_nordic_large.csv:Telia Company;TELIA1;EUR;SE0000667925;TELIA.ST;Telecommunications;1510;
nasdaq_nordic_large.csv:TietoEVRY Oyj;TIETO;EUR;FI0009000277;TIETO.HE;Technology;1010;
nasdaq_nordic_large.csv:Terveystalo Oyj;TTALO;EUR;FI4000252127;TTALO.HE;Health Care;2010;
nasdaq_nordic_large.csv:Nokian Renkaat Oyj;TYRES;EUR;FI0009005318;TYRES.HE;Consumer Services;4010;
nasdaq_nordic_large.csv:UPM-Kymmene Oyj;UPM;EUR;FI0009005987;UPM.HE;Basic Materials;5510;
nasdaq_nordic_large.csv:Uponor Oyj;UPONOR;EUR;FI0009002158;UPONOR.HE;Industrials;5010;
nasdaq_nordic_large.csv:Vaisala Oyj A;VAIAS;EUR;FI0009900682;VAIAS.HE;Industrials;5020;
nasdaq_nordic_large.csv:Valmet Oyj;VALMT;EUR;FI4000074984;VALMT.HE;Industrials;5020;
nasdaq_nordic_large.csv:Wärtsilä Oyj Abp;WRT1V;EUR;FI0009003727;WRT1V.HE;Industrials;5020;
nasdaq_nordic_large.csv:YIT Oyj;YIT;EUR;FI0009800643;YIT.HE;Industrials;5010;
nasdaq_nordic_mid.csv:Aktia Bank Abp;AKTIA;EUR;FI4000058870;AKTIA.HE;Financials;3010;
nasdaq_nordic_mid.csv:Ålandsbanken Abp A;ALBAV;EUR;FI0009000103;ALBAV.HE;Financials;3010;
nasdaq_nordic_mid.csv:Ålandsbanken Abp B;ALBBV;EUR;FI0009001127;ALBBV.HE;Financials;3010;
nasdaq_nordic_mid.csv:Alma Media Oyj;ALMA;EUR;FI0009013114;ALMA.HE;Consumer Services;4030;
nasdaq_nordic_mid.csv:Anora Group Oyj;ANORA;EUR;FI4000292438;ANORA.HE;Consumer Goods;4510;
nasdaq_nordic_mid.csv:Aspo Oyj;ASPO;EUR;FI0009008072;ASPO.HE;Industrials;5020;
nasdaq_nordic_mid.csv:Atria Oyj A;ATRAV;EUR;FI0009006548;ATRAV.HE;Consumer Goods;4510;
nasdaq_nordic_mid.csv:Basware Oyj;BAS1V;EUR;FI0009008403;BAS1V.HE;Technology;1010;
nasdaq_nordic_mid.csv:Bittium Oyj;BITTI;EUR;FI0009007264;BITTI.HE;Technology;1010;
nasdaq_nordic_mid.csv:CapMan Oyj;CAPMAN;EUR;FI0009009377;CAPMAN.HE;Financials;3020;
nasdaq_nordic_mid.csv:Caverion Oyj;CAV1V;EUR;FI4000062781;CAV1V.HE;Industrials;5020;
nasdaq_nordic_mid.csv:Digia Oyj;DIGIA;EUR;FI0009007983;DIGIA.HE;Technology;1010;
nasdaq_nordic_mid.csv:Enento Group Oyj;ENENTO;EUR;FI4000123195;ENENTO.HE;Financials;3020;
nasdaq_nordic_mid.csv:eQ Oyj;EQV1V;EUR;FI0009009617;EQV1V.HE;Financials;3020;
nasdaq_nordic_mid.csv:Etteplan Oyj;ETTE;EUR;FI0009008650;ETTE.HE;Industrials;5020;
nasdaq_nordic_mid.csv:Evli Oyj;EVLI;EUR;FI4000513437;EVLI.HE;Financials;3020;
nasdaq_nordic_mid.csv:Finnair Oyj;FIA1S;EUR;FI0009003230;FIA1S.HE;Consumer Services;4050;
nasdaq_nordic_mid.csv:F-Secure Oyj;FSECURE;EUR;FI4000519236;FSECURE.HE;Technology;1010;
nasdaq_nordic_mid.csv:Gofore Oyj;GOFORE;EUR;FI4000283130;GOFORE.HE;Technology;1010;
nasdaq_nordic_mid.csv:Harvia Oyj;HARVIA;EUR;FI4000306873;HARVIA.HE;Consumer Services;4020;
nasdaq_nordic_mid.csv:HKScan Oyj  A;HKSAV;EUR;FI0009006308;HKSAV.HE;Consumer Goods;4510;
nasdaq_nordic_mid.csv:Incap Oyj;ICP1V;EUR;FI0009006407;ICP1V.HE;Industrials;5020;
nasdaq_nordic_mid.csv:Kamux Oyj;KAMUX;EUR;FI4000206750;KAMUX.HE;Consumer Services;4040;
nasdaq_nordic_mid.csv:Lassila & Tikanoja Oyj;LAT1V;EUR;FI0009010854;LAT1V.HE;Utilities;6510;
nasdaq_nordic_mid.csv:Marimekko Oyj;MEKKO;EUR;FI0009007660;MEKKO.HE;Consumer Services;4020;
nasdaq_nordic_mid.csv:Musti Group Oyj;MUSTI;EUR;FI4000410758;MUSTI.HE;Consumer Services;4040;
nasdaq_nordic_mid.csv:NoHo Partners Oyj;NOHO;EUR;FI4000064332;NOHO.HE;Consumer Services;4050;
nasdaq_nordic_mid.csv:Oriola Oyj A;OKDAV;EUR;FI0009014344;OKDAV.HE;Health Care;2010;
nasdaq_nordic_mid.csv:Oriola Oyj B;OKDBV;EUR;FI0009014351;OKDBV.HE;Health Care;2010;
nasdaq_nordic_mid.csv:Olvi Oyj A;OLVAS;EUR;FI0009900401;OLVAS.HE;Consumer Goods;4510;
nasdaq_nordic_mid.csv:Oma Säästöpankki Oyj;OMASP;EUR;FI4000306733;OMASP.HE;Financials;3010;
nasdaq_nordic_mid.csv:Pihlajalinna Oyj;PIHLIS;EUR;FI4000092556;PIHLIS.HE;Health Care;2010;
nasdaq_nordic_mid.csv:Ponsse Oyj 1;PON1V;EUR;FI0009005078;PON1V.HE;Industrials;5020;
nasdaq_nordic_mid.csv:Purmo Group Oyj C;PURMO;EUR;FI4000507488;PURMO.HE;Industrials;5010;
nasdaq_nordic_mid.csv:Puuilo Oyj;PUUILO;EUR;FI4000507124;PUUILO.HE;Consumer Services;4040;
nasdaq_nordic_mid.csv:Raisio Oyj Vaihto-osake;RAIVV;EUR;FI0009002943;RAIVV.HE;Consumer Goods;4510;
nasdaq_nordic_mid.csv:Rapala VMC Oyj;RAP1V;EUR;FI0009007355;RAP1V.HE;Consumer Services;4020;
nasdaq_nordic_mid.csv:Relais Group Oyj;RELAIS;EUR;FI4000391487;RELAIS.HE;Consumer Services;4010;
nasdaq_nordic_mid.csv:Remedy Entertainment Oyj;REMEDY;EUR;FI4000251897;REMEDY.HE;Consumer Services;4020;
nasdaq_nordic_mid.csv:Rovio Entertainment Oyj;ROVIO;EUR;FI4000266804;ROVIO.HE;Consumer Services;4020;
nasdaq_nordic_mid.csv:Scanfil Oyj;SCANFL;EUR;FI4000029905;SCANFL.HE;Industrials;5020;
nasdaq_nordic_mid.csv:Sitowise Group Oyj;SITOWS;EUR;FI4000480215;SITOWS.HE;Industrials;5010;
nasdaq_nordic_mid.csv:Stockmann Oyj Abp;STOCKA;EUR;FI0009000251;STOCKA.HE;Consumer Services;4040;
nasdaq_nordic_mid.csv:Suominen Oyj;SUY1V;EUR;FI0009010862;SUY1V.HE;Consumer Goods;4520;
nasdaq_nordic_mid.csv:Taaleri Oyj;TAALA;EUR;FI4000062195;TAALA.HE;Financials;3010;
nasdaq_nordic_mid.csv:AS Tallink Grupp FDR;TALLINK;EUR;FI4000349378;TALLINK.HE;Consumer Services;4050;
nasdaq_nordic_mid.csv:Tecnotree Oyj;TEM1V;EUR;FI0009010227;TEM1V.HE;Technology;1010;
nasdaq_nordic_mid.csv:Talenom Oyj;TNOM;EUR;FI4000153580;TNOM.HE;Industrials;5020;
nasdaq_nordic_mid.csv:Tokmanni Group Oyj;TOKMAN;EUR;FI4000197934;TOKMAN.HE;Consumer Services;4040;
nasdaq_nordic_mid.csv:Verkkokauppa.com Oyj;VERK;EUR;FI4000049812;VERK.HE;Consumer Services;4040;
nasdaq_nordic_mid.csv:Viking Line Abp;VIK1V;EUR;FI0009005250;VIK1V.HE;Consumer Services;4050;
nasdaq_nordic_mid.csv:WithSecure Oyj;WITH;EUR;FI4000519228;WITH.HE;Technology;1010;
nasdaq_nordic_small.csv:Aspocomp Group Oyj;ACG1V;EUR;FI0009008080;ACG1V.HE;Technology;1010;
nasdaq_nordic_small.csv:Afarak Group;AFAGR;EUR;FI0009800098;AFAGR.HE;Basic Materials;5510;
nasdaq_nordic_small.csv:Apetit Oyj;APETIT;EUR;FI0009003503;APETIT.HE;Consumer Goods;4510;
nasdaq_nordic_small.csv:Biohit Oyj B;BIOBV;EUR;FI0009005482;BIOBV.HE;Health Care;2010;
nasdaq_nordic_small.csv:Boreo Oyj;BOREO;EUR;FI0009900724;BOREO.HE;Industrials;5020;
nasdaq_nordic_small.csv:Consti Oyj;CONSTI;EUR;FI4000178256;CONSTI.HE;Industrials;5020;
nasdaq_nordic_small.csv:Componenta Oyj;CTH1V;EUR;FI4000476783;CTH1V.HE;Basic Materials;5510;
nasdaq_nordic_small.csv:Digitalist Group Oyj;DIGIGR;EUR;FI0009008007;DIGIGR.HE;Technology;1010;
nasdaq_nordic_small.csv:Dovre Group Oyj;DOV1V;EUR;FI0009008098;DOV1V.HE;Industrials;5020;
nasdaq_nordic_small.csv:Eezy Oyj;EEZY;EUR;FI4000322326;EEZY.HE;Industrials;5020;
nasdaq_nordic_small.csv:Elecster Oyj A;ELEAV;EUR;FI0009900658;ELEAV.HE;Industrials;5020;
nasdaq_nordic_small.csv:Endomines;ENDOM;EUR;SE0018690059;ENDO.ST;Basic Materials;5510;
nasdaq_nordic_small.csv:Enedo Oyj;ENEDO;EUR;FI4000415252;ENEDO.HE;Industrials;5020;
nasdaq_nordic_small.csv:Enersense International Oyj;ESENSE;EUR;FI4000301585;ESENSE.HE;Industrials;5020;
nasdaq_nordic_small.csv:Exel Composites Oyj;EXL1V;EUR;FI0009007306;EXL1V.HE;Industrials;5020;
nasdaq_nordic_small.csv:Fellow Pankki Oyj;FELLOW;EUR;FI4000170915;FELLOW.HE;Financials;3010;
nasdaq_nordic_small.csv:Glaston Oyj Abp;GLA1V;EUR;FI4000369657;GLA1V.HE;Industrials;5010;
nasdaq_nordic_small.csv:Honkarakenne Oyj B;HONBS;EUR;FI0009900104;HONBS.HE;Consumer Services;4020;
nasdaq_nordic_small.csv:Innofactor Plc;IFA1V;EUR;FI0009007637;IFA1V.HE;Technology;1010;
nasdaq_nordic_small.csv:Ilkka Oyj 2;ILKKA2;EUR;FI0009800205;ILKKA2.HE;Consumer Services;4030;
nasdaq_nordic_small.csv:Investors House Oyj;INVEST;EUR;FI0009900559;INVEST.HE;Real Estate;3510;
nasdaq_nordic_small.csv:Kesla Oyj A;KELAS;EUR;FI0009900237;KELAS.HE;Industrials;5020;
nasdaq_nordic_small.csv:Koskisen Oyj;KOSKI;EUR;FI4000533005;KOSKI.HE;Basic Materials;5510;
nasdaq_nordic_small.csv:Kreate Group Oyj;KREATE;EUR;FI4000476866;KREATE.HE;Industrials;5010;
nasdaq_nordic_small.csv:Keskisuomalainen Oyj A;KSLAV;EUR;FI0009007546;KSLAV.HE;Consumer Services;4030;
nasdaq_nordic_small.csv:Lehto Group Oyj;LEHTO;EUR;FI4000081138;LEHTO.HE;Industrials;5010;
nasdaq_nordic_small.csv:Martela Oyj A;MARAS;EUR;FI0009900385;MARAS.HE;Consumer Services;4020;
nasdaq_nordic_small.csv:Nixu Oyj;NIXU;EUR;FI0009008387;NIXU.HE;Technology;1010;
nasdaq_nordic_small.csv:Nurminen Logistics Oyj;NLG1V;EUR;FI0009900187;NLG1V.HE;Industrials;5020;
nasdaq_nordic_small.csv:Optomed Oyj;OPTOMED;EUR;FI4000410881;OPTOMED.HE;Health Care;2010;
nasdaq_nordic_small.csv:Orthex Oyj;ORTHEX;EUR;FI4000480504;ORTHEX.HE;Consumer Services;4020;
nasdaq_nordic_small.csv:Ovaro Kiinteistösijoitus Oyj;OVARO;EUR;FI4000349113;OVARO.HE;Real Estate;3510;
nasdaq_nordic_small.csv:Panostaja Oyj;PNA1V;EUR;FI0009800379;PNA1V.HE;Financials;3020;
nasdaq_nordic_small.csv:PunaMusta Media Oyj;PUMU;EUR;FI0009900468;PUMU.HE;Consumer Services;4030;
nasdaq_nordic_small.csv:QPR Software Oyj;QPR1V;EUR;FI0009008668;QPR1V.HE;Technology;1010;
nasdaq_nordic_small.csv:Raute Oyj A;RAUTE;EUR;FI0009004741;RAUTE.HE;Industrials;5020;
nasdaq_nordic_small.csv:Reka Industrial Oyj;REKA;EUR;FI0009800296;REKA.HE;Industrials;5020;
nasdaq_nordic_small.csv:Robit Oyj;ROBIT;EUR;FI4000150016;ROBIT.HE;Industrials;5020;
nasdaq_nordic_small.csv:Saga Furs Oyj C;SAGCV;EUR;FI0009800551;SAGCV.HE;Consumer Services;4020;
nasdaq_nordic_small.csv:Sievi Capital Oyj;SIEVI;EUR;FI0009008924;SIEVI.HE;Financials;3020;
nasdaq_nordic_small.csv:Siili Solutions Oyj;SIILI;EUR;FI4000043435;SIILI.HE;Technology;1010;
nasdaq_nordic_small.csv:Solteq Oyj;SOLTEQ;EUR;FI0009007991;SOLTEQ.HE;Technology;1010;
nasdaq_nordic_small.csv:Soprano Oyj;SOPRA;EUR;FI0009012793;SOPRA.HE;Technology;1010;
nasdaq_nordic_small.csv:Sotkamo Silver AB;SOSI1;EUR;SE0001057910;None;Basic Materials;5510;
nasdaq_nordic_small.csv:SRV Yhtiöt Oyj;SRV1V;EUR;FI4000523675;SRV1V.HE;Industrials;5010;
nasdaq_nordic_small.csv:SSH Communications Security;SSH1V;EUR;FI0009008270;SSH1V.HE;Technology;1010;
nasdaq_nordic_small.csv:Teleste Oyj;TLT1V;EUR;FI0009007728;TLT1V.HE;Telecommunications;1510;
nasdaq_nordic_small.csv:Trainers´ House Oyj;TRH1V;EUR;FI4000519202;TRH1V.HE;Technology;1010;
nasdaq_nordic_small.csv:Tulikivi Oyj A;TULAV;EUR;FI0009900583;TULAV.HE;Industrials;5010;
nasdaq_nordic_small.csv:United Bankers Oyj;UNITED;EUR;FI4000081427;UNITED.HE;Financials;3020;
nasdaq_nordic_small.csv:Valoe Oyj;VALOE;EUR;FI0009006951;VALOE.HE;Industrials;5020;
nasdaq_nordic_small.csv:Wulff-Yhtiöt Oyj;WUF1V;EUR;FI0009008452;WUF1V.HE;Industrials;5020;
